Variable,Country,Year,Value
Total protein supply,New Zealand,2004,93.4
Total protein supply,New Zealand,2005,92.2
Total protein supply,New Zealand,2006,93.9
Total protein supply,New Zealand,2007,94.4
Total protein supply,New Zealand,2008,94.1
Total protein supply,New Zealand,2009,92.0
Total protein supply,New Zealand,2010,87.6
Total protein supply,New Zealand,2011,96.3
Total protein supply,New Zealand,2012,90.8
Total protein supply,New Zealand,2013,93.3
Total protein supply,New Zealand,2014,91.7
Total protein supply,New Zealand,2015,91.5
Total protein supply,New Zealand,2016,96.0
Total protein supply,New Zealand,2017,92.2
Total protein supply,New Zealand,2018,98.3
Total protein supply,New Zealand,2019,97.4
Total protein supply,New Zealand,2020,93.4
Total protein supply,Norway,1995,100.2
Total protein supply,Norway,1996,104.9
Total protein supply,Norway,1997,103.7
Total protein supply,Norway,1998,105.5
Total protein supply,Norway,1999,105.3
Total protein supply,Norway,2000,105.1
Total protein supply,Norway,2001,105.6
Total protein supply,Norway,2002,105.6
Total protein supply,Norway,2003,103.7
Total protein supply,Norway,2004,104.5
Total protein supply,Norway,2005,105.4
Total protein supply,Norway,2006,105.0
Total protein supply,Norway,2007,107.1
Total protein supply,Norway,2008,109.9
Total protein supply,Norway,2009,109.7
Total protein supply,Norway,2010,117.6
Total protein supply,Norway,2011,116.2
Total protein supply,Norway,2012,116.4
Total protein supply,Norway,2013,114.8
Total protein supply,Norway,2014,111.2
Total protein supply,Norway,2015,112.5
Total protein supply,Norway,2016,112.3
Total protein supply,Norway,2017,113.8
Total protein supply,Norway,2018,116.1
Total protein supply,Norway,2019,116.6
Total protein supply,Norway,2020,118.4
Total protein supply,Poland,1995,98.4
Total protein supply,Poland,1996,98.7
Total protein supply,Poland,1997,97.1
Total protein supply,Poland,1998,99.3
Total protein supply,Poland,1999,99.7
Total protein supply,Poland,2000,99.8
Total protein supply,Poland,2001,99.6
Total protein supply,Poland,2002,100.6
Total protein supply,Poland,2003,101.0
Total protein supply,Poland,2004,99.1
Total protein supply,Poland,2005,98.7
Total protein supply,Poland,2006,98.7
Total protein supply,Poland,2007,99.6
Total protein supply,Poland,2008,98.0
Total protein supply,Poland,2009,100.7
Total protein supply,Poland,2010,103.4
Total protein supply,Poland,2011,102.9
Total protein supply,Poland,2012,101.8
Total protein supply,Poland,2013,101.1
Total protein supply,Poland,2014,100.4
Total protein supply,Poland,2015,100.9
Total protein supply,Poland,2016,103.9
Total protein supply,Poland,2017,105.3
Total protein supply,Poland,2018,105.9
Total protein supply,Poland,2019,108.1
Total protein supply,Poland,2020,110.1
Total protein supply,Portugal,1995,107.6
Total protein supply,Portugal,1996,109.2
Total protein supply,Portugal,1997,106.4
Total protein supply,Portugal,1998,112.9
Total protein supply,Portugal,1999,114.3
Total protein supply,Portugal,2000,112.8
Total protein supply,Portugal,2001,114.5
Total protein supply,Portugal,2002,112.3
Total protein supply,Portugal,2003,110.5
Total protein supply,Portugal,2004,113.1
Total protein supply,Portugal,2005,113.1
Total protein supply,Portugal,2006,113.5
Total protein supply,Portugal,2007,117.3
Total protein supply,Portugal,2008,114.2
Total protein supply,Portugal,2009,114.2
Total protein supply,Portugal,2010,116.3
Total protein supply,Portugal,2011,113.1
Total protein supply,Portugal,2012,111.3
Total protein supply,Portugal,2013,111.1
Total protein supply,Portugal,2014,111.1
Total protein supply,Portugal,2015,112.3
Total protein supply,Portugal,2016,113.1
Total protein supply,Portugal,2017,114.8
Total protein supply,Portugal,2018,118.8
Total protein supply,Portugal,2019,118.6
Total protein supply,Portugal,2020,117.7
Total protein supply,Slovakia,1995,74.2
Total protein supply,Slovakia,1996,78.1
Total protein supply,Slovakia,1997,77.0
Total protein supply,Slovakia,1998,78.2
Total protein supply,Slovakia,1999,75.7
Total protein supply,Slovakia,2000,71.6
Total protein supply,Slovakia,2001,71.0
Total protein supply,Slovakia,2002,73.6
Total protein supply,Slovakia,2003,73.8
Total protein supply,Slovakia,2004,71.3
Total protein supply,Slovakia,2005,74.1
Total protein supply,Slovakia,2006,73.9
Total protein supply,Slovakia,2007,71.3
Total protein supply,Slovakia,2008,73.4
Total protein supply,Slovakia,2009,72.5
Total protein supply,Slovakia,2010,72.4
Total protein supply,Slovakia,2011,72.1
Total protein supply,Slovakia,2012,67.6
Total protein supply,Slovakia,2013,70.4
Total protein supply,Slovakia,2014,71.6
Total protein supply,Slovakia,2015,68.0
Total protein supply,Slovakia,2016,70.0
Total protein supply,Slovakia,2017,68.9
Total protein supply,Slovakia,2018,68.8
Total protein supply,Slovakia,2019,71.9
Total protein supply,Slovakia,2020,72.6
Total protein supply,Spain,1995,107.7
Total protein supply,Spain,1996,109.6
Total protein supply,Spain,1997,108.6
Total protein supply,Spain,1998,114.2
Total protein supply,Spain,1999,112.7
Total protein supply,Spain,2000,112.3
Total protein supply,Spain,2001,112.8
Total protein supply,Spain,2002,115.4
Total protein supply,Spain,2003,113.8
Total protein supply,Spain,2004,110.7
Total protein supply,Spain,2005,108.7
Total protein supply,Spain,2006,110.2
Total protein supply,Spain,2007,111.2
Total protein supply,Spain,2008,108.1
Total protein supply,Spain,2009,108.0
Total protein supply,Spain,2010,106.6
Total protein supply,Spain,2011,105.6
Total protein supply,Spain,2012,104.5
Total protein supply,Spain,2013,104.7
Total protein supply,Spain,2014,104.8
Total protein supply,Spain,2015,105.4
Total protein supply,Spain,2016,107.4
Total protein supply,Spain,2017,107.2
Total protein supply,Spain,2018,110.0
Total protein supply,Spain,2019,111.8
Total protein supply,Spain,2020,111.1
Total protein supply,Sweden,1995,96.1
Total protein supply,Sweden,1996,97.3
Total protein supply,Sweden,1997,99.6
Total protein supply,Sweden,1998,100.0
Total protein supply,Sweden,1999,102.3
Total protein supply,Sweden,2000,101.9
Total protein supply,Sweden,2001,103.9
Total protein supply,Sweden,2002,107.7
Total protein supply,Sweden,2003,108.2
Total protein supply,Sweden,2004,108.3
Total protein supply,Sweden,2005,108.0
Total protein supply,Sweden,2006,107.7
Total protein supply,Sweden,2007,107.1
Total protein supply,Sweden,2008,108.9
Total protein supply,Sweden,2009,107.7
Total protein supply,Sweden,2010,108.5
Total protein supply,Sweden,2011,107.8
Total protein supply,Sweden,2012,105.9
Total protein supply,Sweden,2013,108.8
Total protein supply,Sweden,2014,108.1
Total protein supply,Sweden,2015,107.9
Total protein supply,Sweden,2016,106.7
Total protein supply,Sweden,2017,106.9
Total protein supply,Sweden,2018,105.2
Total protein supply,Sweden,2019,110.8
Total protein supply,Sweden,2020,109.8
Total protein supply,Switzerland,1995,94.4
Total protein supply,Switzerland,1996,93.5
Total protein supply,Switzerland,1997,93.4
Total protein supply,Switzerland,1998,95.1
Total protein supply,Switzerland,1999,92.8
Total protein supply,Switzerland,2000,95.9
Total protein supply,Switzerland,2001,94.7
Total protein supply,Switzerland,2002,93.8
Total protein supply,Switzerland,2003,93.7
Total protein supply,Switzerland,2004,92.8
Total protein supply,Switzerland,2005,91.9
Total protein supply,Switzerland,2006,92.2
Total protein supply,Switzerland,2007,94.0
Total protein supply,Switzerland,2008,93.4
Total protein supply,Switzerland,2009,94.6
Total protein supply,Switzerland,2010,94.7
Total protein supply,Switzerland,2011,95.5
Total protein supply,Switzerland,2012,92.0
Total protein supply,Switzerland,2013,93.0
Total protein supply,Switzerland,2014,97.0
Total protein supply,Switzerland,2015,97.3
Total protein supply,Switzerland,2016,96.7
Total protein supply,Switzerland,2017,96.9
Total protein supply,Switzerland,2018,97.4
Total protein supply,Switzerland,2019,96.5
Total protein supply,Switzerland,2020,98.0
Total protein supply,Turkey,1995,109.3
Total protein supply,Turkey,1996,105.9
Total protein supply,Turkey,1997,102.2
Total protein supply,Turkey,1998,105.9
Total protein supply,Turkey,1999,105.7
Total protein supply,Turkey,2000,105.3
Total protein supply,Turkey,2001,103.2
Total protein supply,Turkey,2002,103.4
Total protein supply,Turkey,2003,102.7
Total protein supply,Turkey,2004,103.0
Total protein supply,Turkey,2005,103.3
Total protein supply,Turkey,2006,103.0
Total protein supply,Turkey,2007,102.7
Total protein supply,Turkey,2008,100.5
Total protein supply,Turkey,2009,100.7
Total protein supply,Turkey,2010,104.3
Total protein supply,Turkey,2011,105.3
Total protein supply,Turkey,2012,107.2
Total protein supply,Turkey,2013,107.1
Total protein supply,Turkey,2014,107.5
Total protein supply,Turkey,2015,110.3
Total protein supply,Turkey,2016,108.7
Total protein supply,Turkey,2017,110.6
Total protein supply,Turkey,2018,110.8
Total protein supply,Turkey,2019,110.5
Total protein supply,Turkey,2020,112.7
Total protein supply,United Kingdom,1995,92.8
Total protein supply,United Kingdom,1996,94.9
Total protein supply,United Kingdom,1997,97.4
Total protein supply,United Kingdom,1998,98.7
Total protein supply,United Kingdom,1999,99.2
Total protein supply,United Kingdom,2000,98.8
Total protein supply,United Kingdom,2001,100.7
Total protein supply,United Kingdom,2002,101.9
Total protein supply,United Kingdom,2003,103.1
Total protein supply,United Kingdom,2004,103.2
Total protein supply,United Kingdom,2005,103.6
Total protein supply,United Kingdom,2006,104.1
Total protein supply,United Kingdom,2007,104.5
Total protein supply,United Kingdom,2008,102.9
Total protein supply,United Kingdom,2009,102.1
Total protein supply,United Kingdom,2010,102.6
Total protein supply,United Kingdom,2011,103.5
Total protein supply,United Kingdom,2012,104.1
Total protein supply,United Kingdom,2013,103.9
Total protein supply,United Kingdom,2014,101.7
Total protein supply,United Kingdom,2015,104.0
Total protein supply,United Kingdom,2016,105.3
Total protein supply,United Kingdom,2017,105.0
Total protein supply,United Kingdom,2018,104.9
Total protein supply,United Kingdom,2019,102.7
Total protein supply,United Kingdom,2020,105.4
Total protein supply,United States of America,1995,111.7
Total protein supply,United States of America,1996,111.7
Total protein supply,United States of America,1997,112.3
Total protein supply,United States of America,1998,112.9
Total protein supply,United States of America,1999,114.8
Total protein supply,United States of America,2000,114.3
Total protein supply,United States of America,2001,112.8
Total protein supply,United States of America,2002,114.4
Total protein supply,United States of America,2003,114.6
Total protein supply,United States of America,2004,115.5
Total protein supply,United States of America,2005,115.1
Total protein supply,United States of America,2006,114.6
Total protein supply,United States of America,2007,114.9
Total protein supply,United States of America,2008,112.9
Total protein supply,United States of America,2009,110.9
Total protein supply,United States of America,2010,110.6
Total protein supply,United States of America,2011,108.7
Total protein supply,United States of America,2012,109.7
Total protein supply,United States of America,2013,109.6
Total protein supply,United States of America,2014,110.7
Total protein supply,United States of America,2015,111.4
Total protein supply,United States of America,2016,112.5
Total protein supply,United States of America,2017,113.3
Total protein supply,United States of America,2018,115.2
Total protein supply,United States of America,2019,116.5
Total protein supply,United States of America,2020,118.8
Total protein supply,Chile,1995,77.5
Total protein supply,Chile,1996,78.0
Total protein supply,Chile,1997,78.2
Total protein supply,Chile,1998,77.7
Total protein supply,Chile,1999,76.9
Total protein supply,Chile,2000,78.6
Total protein supply,Chile,2001,79.6
Total protein supply,Chile,2002,81.1
Total protein supply,Chile,2003,83.7
Total protein supply,Chile,2004,84.8
Total protein supply,Chile,2005,85.9
Total protein supply,Chile,2006,87.7
Total protein supply,Chile,2007,85.6
Total protein supply,Chile,2008,85.5
Total protein supply,Chile,2009,82.1
Total protein supply,Chile,2010,85.0
Total protein supply,Chile,2011,86.2
Total protein supply,Chile,2012,85.0
Total protein supply,Chile,2013,88.0
Total protein supply,Chile,2014,86.7
Total protein supply,Chile,2015,87.1
Total protein supply,Chile,2016,90.0
Total protein supply,Chile,2017,91.0
Total protein supply,Chile,2018,93.5
Total protein supply,Chile,2019,93.2
Total protein supply,Chile,2020,92.5
Total protein supply,Estonia,1995,98.7
Total protein supply,Estonia,1996,97.6
Total protein supply,Estonia,1997,90.7
Total protein supply,Estonia,1998,89.6
Total protein supply,Estonia,1999,90.2
Total protein supply,Estonia,2000,89.0
Total protein supply,Estonia,2001,87.3
Total protein supply,Estonia,2002,92.4
Total protein supply,Estonia,2003,90.5
Total protein supply,Estonia,2004,84.9
Total protein supply,Estonia,2005,93.0
Total protein supply,Estonia,2006,93.6
Total protein supply,Estonia,2007,97.1
Total protein supply,Estonia,2008,100.7
Total protein supply,Estonia,2009,98.7
Total protein supply,Estonia,2010,98.4
Total protein supply,Estonia,2011,98.6
Total protein supply,Estonia,2012,96.5
Total protein supply,Estonia,2013,103.6
Total protein supply,Estonia,2014,100.2
Total protein supply,Estonia,2015,102.4
Total protein supply,Estonia,2016,103.0
Total protein supply,Estonia,2017,101.2
Total protein supply,Estonia,2018,104.2
Total protein supply,Estonia,2019,104.1
Total protein supply,Estonia,2020,101.4
Total protein supply,Israel,1995,115.6
Total protein supply,Israel,1996,114.4
Total protein supply,Israel,1997,114.6
Total protein supply,Israel,1998,114.4
Total protein supply,Israel,1999,113.8
Total protein supply,Israel,2000,120.3
Total protein supply,Israel,2001,123.4
Total protein supply,Israel,2002,126.4
Total protein supply,Israel,2003,124.3
Total protein supply,Israel,2004,128.8
Total protein supply,Israel,2005,128.9
Total protein supply,Israel,2006,130.1
Total protein supply,Israel,2007,127.5
Total protein supply,Israel,2008,128.2
Total protein supply,Israel,2009,124.8
Total protein supply,Israel,2010,123.9
Total protein supply,Israel,2011,124.5
Total protein supply,Israel,2012,123.2
Total protein supply,Israel,2013,126.3
Total protein supply,Israel,2014,126.8
Total protein supply,Israel,2015,122.6
Total protein supply,Israel,2016,124.8
Total protein supply,Israel,2017,125.6
Total protein supply,Israel,2018,128.6
Total protein supply,Israel,2019,127.7
Total protein supply,Israel,2020,125.6
Total protein supply,Slovenia,1995,95.9
Total protein supply,Slovenia,1996,100.0
Total protein supply,Slovenia,1997,98.0
Total protein supply,Slovenia,1998,96.0
Total protein supply,Slovenia,1999,103.5
Total protein supply,Slovenia,2000,102.3
Total protein supply,Slovenia,2001,100.0
Total protein supply,Slovenia,2002,98.6
Total protein supply,Slovenia,2003,100.1
Total protein supply,Slovenia,2004,99.3
Total protein supply,Slovenia,2005,98.1
Total protein supply,Slovenia,2006,98.2
Total protein supply,Slovenia,2007,98.3
Total protein supply,Slovenia,2008,101.7
Total protein supply,Slovenia,2009,101.9
Total protein supply,Slovenia,2010,100.5
Total protein supply,Slovenia,2011,98.9
Total protein supply,Slovenia,2012,98.3
Total protein supply,Slovenia,2013,96.2
Total protein supply,Slovenia,2014,98.9
Total protein supply,Slovenia,2015,97.4
Total protein supply,Slovenia,2016,98.6
Total protein supply,Slovenia,2017,97.5
Total protein supply,Slovenia,2018,95.9
Total protein supply,Slovenia,2019,98.0
Total protein supply,Slovenia,2020,99.1
Total protein supply,Colombia,1995,63.7
Total protein supply,Colombia,1996,64.9
Total protein supply,Colombia,1997,64.6
Total protein supply,Colombia,1998,63.8
Total protein supply,Colombia,1999,62.4
Total protein supply,Colombia,2000,63.4
Total protein supply,Colombia,2001,63.7
Total protein supply,Colombia,2002,63.4
Total protein supply,Colombia,2003,63.1
Total protein supply,Colombia,2004,61.8
Total protein supply,Colombia,2005,62.2
Total protein supply,Colombia,2006,63.8
Total protein supply,Colombia,2007,64.1
Total protein supply,Colombia,2008,64.8
Total protein supply,Colombia,2009,61.5
Total protein supply,Colombia,2010,61.2
Total protein supply,Colombia,2011,62.2
Total protein supply,Colombia,2012,64.4
Total protein supply,Colombia,2013,65.1
Total protein supply,Colombia,2014,68.0
Total protein supply,Colombia,2015,69.8
Total protein supply,Colombia,2016,69.2
Total protein supply,Colombia,2017,70.5
Total protein supply,Colombia,2018,72.6
Total protein supply,Colombia,2019,74.1
Total protein supply,Colombia,2020,72.5
Total protein supply,Costa Rica,1995,73.0
Total protein supply,Costa Rica,1996,67.9
Total protein supply,Costa Rica,1997,70.3
Total protein supply,Costa Rica,1998,68.9
Total protein supply,Costa Rica,1999,71.6
Total protein supply,Costa Rica,2000,74.2
Total protein supply,Costa Rica,2001,70.5
Total protein supply,Costa Rica,2002,70.1
Total protein supply,Costa Rica,2003,70.6
Total protein supply,Costa Rica,2004,70.3
Total protein supply,Costa Rica,2005,70.8
Total protein supply,Costa Rica,2006,73.0
Total protein supply,Costa Rica,2007,74.5
Total protein supply,Costa Rica,2008,75.3
Total protein supply,Costa Rica,2009,76.1
Total protein supply,Costa Rica,2010,75.6
Total protein supply,Costa Rica,2011,74.3
Total protein supply,Costa Rica,2012,74.3
Total protein supply,Costa Rica,2013,73.8
Total protein supply,Costa Rica,2014,76.7
Total protein supply,Costa Rica,2015,75.9
Total protein supply,Costa Rica,2016,79.4
Total protein supply,Costa Rica,2017,80.4
Total protein supply,Costa Rica,2018,81.7
Total protein supply,Costa Rica,2019,85.0
Total protein supply,Costa Rica,2020,84.6
Total protein supply,Latvia,1995,97.1
Total protein supply,Latvia,1996,86.1
Total protein supply,Latvia,1997,84.2
Total protein supply,Latvia,1998,80.4
Total protein supply,Latvia,1999,79.7
Total protein supply,Latvia,2000,77.0
Total protein supply,Latvia,2001,78.2
Total protein supply,Latvia,2002,81.3
Total protein supply,Latvia,2003,85.8
Total protein supply,Latvia,2004,86.0
Total protein supply,Latvia,2005,85.8
Total protein supply,Latvia,2006,90.8
Total protein supply,Latvia,2007,93.2
Total protein supply,Latvia,2008,96.0
Total protein supply,Latvia,2009,96.8
Total protein supply,Latvia,2010,96.3
Total protein supply,Latvia,2011,96.5
Total protein supply,Latvia,2012,92.1
Total protein supply,Latvia,2013,91.5
Total protein supply,Latvia,2014,98.7
Total protein supply,Latvia,2015,94.9
Total protein supply,Latvia,2016,103.3
Total protein supply,Latvia,2017,102.4
Total protein supply,Latvia,2018,96.1
Total protein supply,Latvia,2019,97.6
Total protein supply,Latvia,2020,96.7
Total protein supply,Lithuania,1995,92.5
Total protein supply,Lithuania,1996,102.4
Total protein supply,Lithuania,1997,96.9
Total protein supply,Lithuania,1998,100.8
Total protein supply,Lithuania,1999,99.7
Total protein supply,Lithuania,2000,104.8
Total protein supply,Lithuania,2001,104.3
Total protein supply,Lithuania,2002,108.2
Total protein supply,Lithuania,2003,108.0
Total protein supply,Lithuania,2004,116.8
Total protein supply,Lithuania,2005,120.0
Total protein supply,Lithuania,2006,118.9
Total protein supply,Lithuania,2007,126.2
Total protein supply,Lithuania,2008,127.1
Total protein supply,Lithuania,2009,127.0
Total protein supply,Lithuania,2010,114.4
Total protein supply,Lithuania,2011,113.4
Total protein supply,Lithuania,2012,115.5
Total protein supply,Lithuania,2013,116.8
Total protein supply,Lithuania,2014,120.4
Total protein supply,Lithuania,2015,122.2
Total protein supply,Lithuania,2016,125.2
Total protein supply,Lithuania,2017,126.9
Total protein supply,Lithuania,2018,124.7
Total protein supply,Lithuania,2019,123.4
Total protein supply,Lithuania,2020,127.2
Total protein supply,Belgium,1995,99.3
Total protein supply,Belgium,1996,99.3
Total protein supply,Belgium,1997,99.3
Total protein supply,Belgium,1998,99.3
Total protein supply,Belgium,1999,99.3
Total protein supply,Luxembourg,1995,109.6
Total protein supply,Luxembourg,1996,109.6
Total protein supply,Luxembourg,1997,109.6
Total protein supply,Luxembourg,1998,109.6
Total protein supply,Luxembourg,1999,109.6
Sugar supply,Australia,1995,131.8
Sugar supply,Australia,1996,123.8
Sugar supply,Australia,1997,134.2
Sugar supply,Australia,1998,131.8
Sugar supply,Australia,1999,120.3
Sugar supply,Australia,2000,123.3
Sugar supply,Australia,2001,124.9
Sugar supply,Australia,2002,125.2
Sugar supply,Australia,2003,128.5
Sugar supply,Australia,2004,128.2
Sugar supply,Australia,2005,128.2
Sugar supply,Australia,2006,127.1
Sugar supply,Australia,2007,129.9
Sugar supply,Australia,2008,128.8
Sugar supply,Australia,2009,125.8
Sugar supply,Australia,2010,358.9
Sugar supply,Australia,2011,354.8
Sugar supply,Australia,2012,355.1
Sugar supply,Australia,2013,355.3
Sugar supply,Australia,2014,120.3
Sugar supply,Australia,2015,116.4
Sugar supply,Australia,2016,120.8
Sugar supply,Australia,2017,118.6
Sugar supply,Australia,2018,114.2
Sugar supply,Australia,2019,112.9
Sugar supply,Australia,2020,112.9
Sugar supply,Austria,1995,131.5
Sugar supply,Austria,1996,130.7
Sugar supply,Austria,1997,127.9
Sugar supply,Austria,1998,126.6
Sugar supply,Austria,1999,126.6
Sugar supply,Austria,2000,127.4
Sugar supply,Austria,2001,124.7
Sugar supply,Austria,2002,123.0
Sugar supply,Austria,2003,126.8
Sugar supply,Austria,2004,130.1
Sugar supply,Austria,2005,135.9
Sugar supply,Austria,2006,133.7
Sugar supply,Austria,2007,128.5
Sugar supply,Austria,2008,133.7
Sugar supply,Austria,2009,128.2
Sugar supply,Austria,2010,126.6
Sugar supply,Austria,2011,127.4
Sugar supply,Austria,2012,126.3
Sugar supply,Austria,2013,121.9
Sugar supply,Austria,2014,123.0
Sugar supply,Austria,2015,128.5
Sugar supply,Austria,2016,132.9
Sugar supply,Austria,2017,130.1
Sugar supply,Austria,2018,124.9
Sugar supply,Austria,2019,111.0
Sugar supply,Austria,2020,100.8
Sugar supply,Belgium,2000,150.7
Sugar supply,Belgium,2001,149.3
Sugar supply,Belgium,2002,148.2
Sugar supply,Belgium,2003,149.6
Sugar supply,Belgium,2004,146.6
Sugar supply,Belgium,2005,145.8
Sugar supply,Belgium,2006,139.7
Sugar supply,Belgium,2007,138.1
Sugar supply,Belgium,2008,144.1
Sugar supply,Belgium,2009,149.0
Sugar supply,Belgium,2010,148.8
Sugar supply,Belgium,2011,133.2
Sugar supply,Belgium,2012,148.2
Sugar supply,Belgium,2013,142.2
Sugar supply,Belgium,2014,146.0
Sugar supply,Belgium,2015,168.5
Sugar supply,Belgium,2016,161.1
Sugar supply,Belgium,2017,161.9
Sugar supply,Belgium,2018,171.5
Sugar supply,Belgium,2019,157.8
Sugar supply,Belgium,2020,140.0
Sugar supply,Canada,1995,130.4
Sugar supply,Canada,1996,135.9
Sugar supply,Canada,1997,141.1
Sugar supply,Canada,1998,142.5
Sugar supply,Canada,1999,134.2
Sugar supply,Canada,2000,138.6
Sugar supply,Canada,2001,144.9
Sugar supply,Canada,2002,152.6
Sugar supply,Canada,2003,153.2
Sugar supply,Canada,2004,148.8
Sugar supply,Canada,2005,147.4
Sugar supply,Canada,2006,144.7
Sugar supply,Canada,2007,146.0
Sugar supply,Canada,2008,140.5
Sugar supply,Canada,2009,135.6
Sugar supply,Canada,2010,255.9
Sugar supply,Canada,2011,255.3
Sugar supply,Canada,2012,255.1
Sugar supply,Canada,2013,255.1
Sugar supply,Canada,2014,256.2
Sugar supply,Canada,2015,255.1
Sugar supply,Canada,2016,247.7
Sugar supply,Canada,2017,231.0
Sugar supply,Canada,2018,154.8
Sugar supply,Canada,2019,138.4
Sugar supply,Canada,2020,136.4
Sugar supply,Czech Republic,1995,127.1
Sugar supply,Czech Republic,1996,140.8
Sugar supply,Czech Republic,1997,129.9
Sugar supply,Czech Republic,1998,127.9
Sugar supply,Czech Republic,1999,121.1
Sugar supply,Czech Republic,2000,121.4
Sugar supply,Czech Republic,2001,127.4
Sugar supply,Czech Republic,2002,140.3
Sugar supply,Czech Republic,2003,150.4
Sugar supply,Czech Republic,2004,150.4
Sugar supply,Czech Republic,2005,103.0
Sugar supply,Czech Republic,2006,87.9
Sugar supply,Czech Republic,2007,95.1
Sugar supply,Czech Republic,2008,95.9
Sugar supply,Czech Republic,2009,106.6
Sugar supply,Czech Republic,2010,139.2
Sugar supply,Czech Republic,2011,166.0
Sugar supply,Czech Republic,2012,178.1
Sugar supply,Czech Republic,2013,181.4
Sugar supply,Czech Republic,2014,154.2
Sugar supply,Czech Republic,2015,132.1
Sugar supply,Czech Republic,2016,127.9
Sugar supply,Czech Republic,2017,134.5
Sugar supply,Czech Republic,2018,119.7
Sugar supply,Czech Republic,2019,114.2
Sugar supply,Czech Republic,2020,97.3
Sugar supply,Denmark,1995,138.1
Sugar supply,Denmark,1996,132.3
Sugar supply,Denmark,1997,146.3
Sugar supply,Denmark,1998,138.6
Sugar supply,Denmark,1999,135.6
Sugar supply,Denmark,2000,147.1
Sugar supply,Denmark,2001,142.5
Sugar supply,Denmark,2002,157.8
Sugar supply,Denmark,2003,158.1
Sugar supply,Denmark,2004,158.6
Sugar supply,Denmark,2005,139.2
Sugar supply,Denmark,2006,147.9
Sugar supply,Denmark,2007,171.8
Sugar supply,Denmark,2008,146.6
Sugar supply,Denmark,2009,143.6
Sugar supply,Denmark,2010,149.0
Sugar supply,Denmark,2011,155.6
Sugar supply,Denmark,2012,152.1
Sugar supply,Denmark,2013,154.0
Sugar supply,Denmark,2014,150.1
Sugar supply,Denmark,2015,150.4
Sugar supply,Denmark,2016,150.4
Sugar supply,Denmark,2017,151.5
Sugar supply,Denmark,2018,153.4
Sugar supply,Denmark,2019,149.0
Sugar supply,Denmark,2020,162.2
Sugar supply,Finland,1995,109.6
Sugar supply,Finland,1996,104.1
Sugar supply,Finland,1997,105.2
Sugar supply,Finland,1998,100.5
Sugar supply,Finland,1999,100.5
Sugar supply,Finland,2000,105.5
Sugar supply,Finland,2001,95.9
Sugar supply,Finland,2002,95.3
Sugar supply,Finland,2003,94.0
Sugar supply,Finland,2004,95.3
Sugar supply,Finland,2005,93.2
Sugar supply,Finland,2006,91.5
Sugar supply,Finland,2007,94.5
Sugar supply,Finland,2008,81.9
Sugar supply,Finland,2009,92.6
Sugar supply,Finland,2010,109.6
Sugar supply,Finland,2011,109.0
Sugar supply,Finland,2012,109.0
Sugar supply,Finland,2013,109.0
Sugar supply,Finland,2014,110.1
Sugar supply,Finland,2015,110.4
Sugar supply,Finland,2016,110.4
Sugar supply,Finland,2017,110.7
Sugar supply,Finland,2018,113.7
Sugar supply,Finland,2019,133.7
Sugar supply,Finland,2020,135.9
Sugar supply,France,1995,102.2
Sugar supply,France,1996,106.0
Sugar supply,France,1997,107.1
Sugar supply,France,1998,110.1
Sugar supply,France,1999,112.3
Sugar supply,France,2000,108.8
Sugar supply,France,2001,111.8
Sugar supply,France,2002,113.2
Sugar supply,France,2003,110.7
Sugar supply,France,2004,112.9
Sugar supply,France,2005,114.2
Sugar supply,France,2006,103.8
Sugar supply,France,2007,102.2
Sugar supply,France,2008,99.5
Sugar supply,France,2009,110.7
Sugar supply,France,2010,104.1
Sugar supply,France,2011,103.3
Sugar supply,France,2012,104.1
Sugar supply,France,2013,107.4
Sugar supply,France,2014,102.2
Sugar supply,France,2015,105.8
Sugar supply,France,2016,106.0
Sugar supply,France,2017,106.3
Sugar supply,France,2018,106.3
Sugar supply,France,2019,93.4
Sugar supply,France,2020,99.2
Sugar supply,Germany,1995,121.1
Sugar supply,Germany,1996,109.9
Sugar supply,Germany,1997,115.6
Sugar supply,Germany,1998,111.8
Sugar supply,Germany,1999,113.2
Sugar supply,Germany,2000,115.1
Sugar supply,Germany,2001,125.5
Sugar supply,Germany,2002,123.8
Sugar supply,Germany,2003,132.6
Sugar supply,Germany,2004,135.1
Sugar supply,Germany,2005,139.5
Sugar supply,Germany,2006,132.1
Sugar supply,Germany,2007,126.3
Sugar supply,Germany,2008,135.6
Sugar supply,Germany,2009,131.8
Sugar supply,Germany,2010,136.7
Sugar supply,Germany,2011,133.7
Sugar supply,Germany,2012,129.9
Sugar supply,Germany,2013,132.3
Sugar supply,Germany,2014,134.2
Sugar supply,Germany,2015,135.1
Sugar supply,Germany,2016,130.1
Sugar supply,Germany,2017,127.4
Sugar supply,Germany,2018,121.1
Sugar supply,Germany,2019,119.7
Sugar supply,Germany,2020,125.5
Sugar supply,Greece,1995,86.0
Sugar supply,Greece,1996,83.6
Sugar supply,Greece,1997,74.2
Sugar supply,Greece,1998,87.1
Sugar supply,Greece,1999,88.5
Sugar supply,Greece,2000,90.4
Sugar supply,Greece,2001,94.5
Sugar supply,Greece,2002,94.2
Sugar supply,Greece,2003,96.2
Sugar supply,Greece,2004,100.0
Sugar supply,Greece,2005,93.2
Sugar supply,Greece,2006,78.4
Sugar supply,Greece,2007,86.0
Sugar supply,Greece,2008,85.2
Sugar supply,Greece,2009,75.6
